date;00:00-00:15;00:15-00:30;00:30-00:45;00:45-01:00;01:00-01:15;01:15-01:30;01:30-01:45;01:45-02:00;02:00-02:15;02:15-02:30;02:30-02:45;02:45-03:00;03:00-03:15;03:15-03:30;03:30-03:45;03:45-04:00;04:00-04:15;04:15-04:30;04:30-04:45;04:45-05:00;05:00-05:15;05:15-05:30;05:30-05:45;05:45-06:00;06:00-06:15;06:15-06:30;06:30-06:45;06:45-07:00;07:00-07:15;07:15-07:30;07:30-07:45;07:45-08:00;08:00-08:15;08:15-08:30;08:30-08:45;08:45-09:00;09:00-09:15;09:15-09:30;09:30-09:45;09:45-10:00;10:00-10:15;10:15-10:30;10:30-10:45;10:45-11:00;11:00-11:15;11:15-11:30;11:30-11:45;11:45-12:00;12:00-12:15;12:15-12:30;12:30-12:45;12:45-13:00;13:00-13:15;13:15-13:30;13:30-13:45;13:45-14:00;14:00-14:15;14:15-14:30;14:30-14:45;14:45-15:00;15:00-15:15;15:15-15:30;15:30-15:45;15:45-16:00;16:00-16:15;16:15-16:30;16:30-16:45;16:45-17:00;17:00-17:15;17:15-17:30;17:30-17:45;17:45-18:00;18:00-18:15;18:15-18:30;18:30-18:45;18:45-19:00;19:00-19:15;19:15-19:30;19:30-19:45;19:45-20:00;20:00-20:15;20:15-20:30;20:30-20:45;20:45-21:00;21:00-21:15;21:15-21:30;21:30-21:45;21:45-22:00;22:00-22:15;22:15-22:30;22:30-22:45;22:45-23:00;23:00-23:15;23:15-23:30;23:30-23:45;23:45-00:00
2025-11-12;0,408;0,393;0,389;0,405;0,411;0,411;0,406;0,415;0,419;0,418;0,417;0,417;0,421;0,421;0,422;0,420;0,410;0,401;0,404;0,414;0,432;0,453;0,463;0,512;0,573;0,662;0,755;0,794;0,720;0,837;0,806;0,729;0,743;0,689;0,665;0,636;0,529;0,519;0,487;0,470;0,439;0,431;0,428;0,419;0,426;0,421;0,421;0,417;0,423;0,428;0,429;0,428;0,435;0,436;0,436;0,444;0,473;0,495;0,507;0,527;0,560;0,591;0,701;0,728;0,614;0,654;0,693;0,753;0,547;0,538;0,518;0,510;0,499;0,464;0,464;0,462;0,475;0,462;0,451;0,448;0,450;0,437;0,433;0,427;0,400;0,376;0,390;0,385;0,408;0,404;0,400;0,353;0,335;0,309;0,285;0,259
2025-11-11;0,433;0,433;0,433;0,442;0,439;0,444;0,450;0,445;0,433;0,433;0,433;0,433;0,432;0,432;0,432;0,432;0,431;0,431;0,431;0,431;0,434;0,434;0,440;0,437;0,442;0,442;0,455;0,455;0,464;0,477;0,480;0,486;0,494;0,492;0,491;0,481;0,491;0,470;0,465;0,444;0,467;0,455;0,456;0,464;0,464;0,465;0,473;0,477;0,475;0,475;0,474;0,474;0,489;0,479;0,479;0,472;0,475;0,473;0,492;0,519;0,497;0,530;0,560;0,576;0,574;0,594;0,605;0,615;0,597;0,599;0,590;0,576;0,565;0,545;0,535;0,531;0,519;0,519;0,512;0,511;0,509;0,505;0,492;0,473;0,480;0,473;0,457;0,439;0,481;0,445;0,425;0,410;0,425;0,414;0,422;0,423
