metric_idx;metric_y;metric_label;metric_value_kWh;metric_value_text
1;9;Zużycie domu;61.300;61 kWh
2;8;EV;58.700;59 kWh
3;7;Zużycie łączne;120.000;120 kWh
4;6;PV;271.300;271 kWh
5;5;Import;38.500;38 kWh
6;4;Eksport;128.300;128 kWh
7;3;Ładowanie magazynu;117.200;117 kWh
8;2;Rozładowanie magazynu;116.300;116 kWh
9;1;Straty systemu (16,84%);52.172;52 kWh
