period_type;period_id;period_start;period_end;records_count;duration_minutes;max_gap_minutes;total_origin_zero;home_consumption_kWh;ev_consumption_kWh;total_consumption_kWh;inverter_output_kWh;pv_production_kWh;import_kWh;export_kWh;battery_charge_kWh;battery_discharge_kWh;pv_counter_start_kWh;pv_counter_end_kWh;pv_counter_delta_kWh;inverter_output_counter_start_kWh;inverter_output_counter_end_kWh;inverter_output_counter_delta_kWh;import_counter_start_kWh;import_counter_end_kWh;import_counter_delta_kWh;export_counter_start_kWh;export_counter_end_kWh;export_counter_delta_kWh;battery_charge_counter_start_kWh;battery_charge_counter_end_kWh;battery_charge_counter_delta_kWh;battery_discharge_counter_start_kWh;battery_discharge_counter_end_kWh;battery_discharge_counter_delta_kWh;ev_counter_start_kWh;ev_counter_end_kWh;ev_counter_delta_kWh;soc_start_pct;soc_end_pct;soc_delta_pct;battery_capacity_kWh;battery_energy_change_kWh;battery_net_release_kWh;battery_net_storage_kWh;system_energy_available_kWh;system_energy_accounted_kWh;system_losses_kWh;system_losses_pct;system_balance_efficiency_pct;system_losses_estimated_yn;system_losses_basis;battery_efficiency_pct;quality_flag
monthly;2026-05;2026-05-11 14:55:00;2026-05-31 23:45:00;4886;29330.000;3310.000;False;153.400;154.800;308.200;370.300;463.200;122.700;184.800;194.900;209.200;1678.800;2142.000;463.200;1662.200;2032.500;370.300;3391.100;3513.800;122.700;441.300;626.100;184.800;1514.000;1708.900;194.900;1255.000;1464.200;209.200;1617.000;1771.800;154.800;38.000;19.000;-19.000;10.600;-2.014;2.014;0.000;587.914;493.000;94.914;16.144;83.856;n;period_boundary_counters_and_soc;107.337;period_has_gaps,storage_efficiency_gt_100_check_counters
monthly;2026-06;2026-06-01 00:00:00;2026-06-30 23:55:00;8235;43195.000;905.000;False;246.400;207.000;453.400;635.300;778.700;148.900;330.800;308.400;330.600;2142.000;2920.700;778.700;2032.500;2667.800;635.300;3513.800;3662.700;148.900;626.100;956.900;330.800;1708.900;2017.300;308.400;1464.300;1794.900;330.600;1771.800;1978.800;207.000;18.000;13.000;-5.000;10.600;-0.530;0.530;0.000;928.130;784.200;143.930;15.508;84.492;n;period_boundary_counters_and_soc;107.198;period_has_gaps,storage_efficiency_gt_100_check_counters
monthly;2026-07;2026-07-01 00:00:00;2026-07-12 17:20:00;3347;16880.000;85.000;False;68.700;58.700;127.400;220.000;278.600;38.600;131.200;120.100;127.400;2920.700;3199.300;278.600;2667.800;2887.800;220.000;3662.700;3701.300;38.600;956.900;1088.100;131.200;2017.300;2137.400;120.100;1794.900;1922.300;127.400;1978.800;2037.500;58.700;12.000;26.000;14.000;10.600;1.484;0.000;1.484;317.200;260.084;57.116;18.006;81.994;n;period_boundary_counters_and_soc;106.078;period_has_gaps,storage_efficiency_gt_100_check_counters
