metric_idx;metric_y;metric_label;metric_value_kWh;metric_value_text
1;9;Zużycie domu;30.600;31 kWh
2;8;EV;21.700;22 kWh
3;7;Zużycie łączne;52.300;52 kWh
4;6;PV;140.100;140 kWh
5;5;Import;14.000;14 kWh
6;4;Eksport;63.200;63 kWh
7;3;Ładowanie magazynu;67.800;68 kWh
8;2;Rozładowanie magazynu;62.200;62 kWh
9;1;Straty systemu (19,27%);29.696;30 kWh
