date;hour;hour_time;r_observed;r_source;forecast_cloud_cover_pct;forecast_cloud_class_pct;actual_pv_Wh;radiation;r_clear_candidate_flag;reference_r_at_observation;deviation_vs_reference_pct;source_file;first_seen_at;last_updated_at
2026-05-26;21;21:00;0.0000;calculated_actual_pv_Wh_div_radiation;0.0;0;0;7;False;0.0000;;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-05-27;05;05:00;50.0000;calculated_actual_pv_Wh_div_radiation;0.0;0;100;2;False;0.0000;;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-05-27;06;06:00;4.6154;calculated_actual_pv_Wh_div_radiation;0.0;0;300;65;False;0.0000;;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-05-27;07;07:00;1.5625;calculated_actual_pv_Wh_div_radiation;0.0;0;300;192;True;1.0000;56.2;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-05-27;08;08:00;1.4451;calculated_actual_pv_Wh_div_radiation;0.0;0;500;346;True;1.8000;-19.7;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-05-27;09;09:00;1.5936;calculated_actual_pv_Wh_div_radiation;0.0;0;800;502;True;2.7000;-41.0;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-05-27;10;10:00;2.4922;calculated_actual_pv_Wh_div_radiation;0.0;0;1600;642;True;3.7000;-32.6;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-05-27;11;11:00;2.6525;calculated_actual_pv_Wh_div_radiation;0.0;0;2000;754;True;4.5000;-41.1;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-05-27;18;18:00;8.6486;calculated_actual_pv_Wh_div_radiation;0.0;0;3200;370;True;5.8000;49.1;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-05-27;19;19:00;7.2340;calculated_actual_pv_Wh_div_radiation;0.0;0;1700;235;True;4.4000;64.4;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-05-27;20;20:00;0.0000;calculated_actual_pv_Wh_div_radiation;0.0;0;0;94;False;2.6000;-100.0;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-05-27;21;21:00;0.0000;calculated_actual_pv_Wh_div_radiation;0.0;0;0;8;False;0.0000;;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-05-28;05;05:00;50.0000;calculated_actual_pv_Wh_div_radiation;5.0;5;100;2;False;0.0000;;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
