date;hour_time;pv_forecast_kWh;pv_forecast_day_cum_kWh
2026-07-09;15:00;3.2;3.2
2026-07-09;16:00;3.4;6.6
2026-07-09;17:00;2.3;8.9
2026-07-09;18:00;1.2;10.1
2026-07-09;19:00;0.1;10.2
2026-07-09;20:00;0.1;10.3
2026-07-09;21:00;0.0;10.3
2026-07-09;22:00;0.0;10.3
2026-07-09;23:00;0.0;10.3
