metric_idx;metric_y;metric_label;metric_value_kWh;metric_value_text
1;9;Zużycie domu;3463.500;3464 kWh
2;8;EV;2037.500;2038 kWh
3;7;Zużycie łączne;5501.000;5501 kWh
4;6;PV;3199.300;3199 kWh
5;5;Import;3701.300;3701 kWh
6;4;Eksport;1088.100;1088 kWh
7;3;Ładowanie magazynu;2137.400;2137 kWh
8;2;Rozładowanie magazynu;1922.300;1922 kWh
9;1;Szac. straty systemu (4,53%);312.772;313 kWh
