generated_at;module_id;family;title;status;report_html;status_html;manifest_file;texts_file;work_web_report;host_web_report_expected
2026-05-30 19:00:20;20_40_10_forecast_open_meteo;20_40_meteo_forecast;Prognoza pogody i promieniowania Open-Meteo;OK;/work/84_web/!_www/reports/20_40_10_forecast_open_meteo.html;/work/84_web/!_www/status/20_40_10_forecast_open_meteo_status.html;/work/20_analysis/20_40_meteo_forecast/20_40_10_forecast_open_meteo/report_manifest.json;/work/20_analysis/20_40_meteo_forecast/20_40_10_forecast_open_meteo/20_40_10_forecast_open_meteo_html_texts.txt;/work/84_web/!_www/reports/20_40_10_forecast_open_meteo.html;/share/CACHEDEV1_DATA/Web/reports/20_40_10_forecast_open_meteo.html
2026-05-30 19:15:06;20_15_energy_use;20_analysis/20_15_energy_use;Profil zużycia energii;OK;20_15_energy_use.html;../status/20_15_energy_use_status.html;/work/20_analysis/20_15_energy_use/20_15_energy_use_report_manifest.json;/work/20_analysis/20_15_energy_use/20_15_energy_use_html_texts.txt;/work/84_web/!_www/reports/20_15_energy_use.html;
